source,target,weight
1,46,448.5
1,252,275.9
1,119,319.9
2,81,318.6
3,247,424.5
3,230,311.9
3,231,313.4
4,246,312.3
5,154,347.2
6,83,483.2
8,300,397.9
9,239,358.1
10,9,570.6
11,230,311.0
12,41,378.3
13,26,341.5
14,89,334.2
15,8,352.1
16,40,328.8
17,63,424.4
18,43,422.6
19,162,412.1
19,266,87.7
21,233,332.0
22,49,447.5
23,22,319.8
25,178,307.1
26,94,408.2
27,216,419.6
27,98,7.7
27,46,163.8
28,57,327.7
29,222,292.7
30,67,358.9
31,215,478.7
32,10,406.7
33,181,333.0
34,161,359.8
35,115,503.6
35,265,519.6
35,54,352.5
36,78,414.7
37,84,373.4
38,65,415.0
39,234,361.3
40,105,355.1
41,272,365.0
42,58,364.6
43,118,449.7
44,7,380.6
45,12,404.3
46,216,353.6
46,31,163.6
47,265,341.8
47,35,332.5
47,36,252.5
48,206,402.5
51,160,440.1
52,75,350.2
53,45,389.9
54,231,392.3
54,36,267.1
55,223,382.7
56,96,374.6
57,55,925.2
57,242,313.2
57,243,312.9
58,95,476.8
59,232,802.7
60,38,394.1
61,19,496.4
63,202,389.6
64,287,353.1
65,230,435.8
65,11,324.6
65,247,373.6
66,59,423.2
67,164,413.3
68,57,203.6
69,39,338.1
70,255,1308.8
70,252,129.3
70,119,385.3
71,88,360.2
72,271,419.5
73,5,352.6
74,165,305.1
75,171,397.2
76,238,424.6
77,109,383.8
79,90,981.4
79,99,78.0
80,97,834.1
81,204,1023.1
82,274,748.3
84,101,345.3
85,207,376.2
86,214,2712.1
87,74,361.3
88,268,372.8
90,2,572.5
91,52,424.1
91,137,98.3
92,243,667.3
93,87,412.1
94,219,612.7
95,72,480.1
96,42,378.1
97,28,531.4
97,68,225.3
98,70,315.1
98,31,3.2
99,53,248.3
100,303,449.2
101,221,394.3
102,285,367.8
103,302,346.7
104,71,363.7
104,127,76.8
104,146,135.9
106,17,360.6
107,130,862.1
108,137,345.7
108,91,351.7
109,292,353.4
109,276,278.1
110,121,388.4
111,116,1194.2
112,14,357.6
113,124,234.9
114,245,397.5
115,86,1228.5
116,36,409.1
116,265,78.2
116,54,242.2
118,207,448.7
118,85,195.8
119,120,407.6
119,46,444.4
120,61,395.7
121,299,327.1
122,252,393.6
122,70,313.4
122,1,265.2
123,37,341.4
124,253,385.9
125,235,413.7
126,182,490.7
127,208,450.6
128,131,672.4
128,33,195.8
130,129,482.5
131,132,803.8
132,133,363.2
133,269,75.3
134,107,344.0
135,54,379.8
135,115,153.2
135,116,154.4
136,305,413.2
137,123,352.7
138,284,489.7
140,187,341.2
141,278,302.4
142,176,341.3
143,269,329.1
143,133,329.8
144,172,358.4
145,228,454.6
146,170,494.7
147,29,486.6
148,150,341.1
149,295,408.2
150,152,354.5
151,149,377.7
153,151,330.7
154,263,392.9
155,157,353.4
157,158,331.7
158,286,383.8
159,64,378.4
160,159,434.5
161,125,426.1
162,51,472.2
163,236,368.2
164,119,387.3
164,70,93.4
164,1,221.0
165,241,347.4
166,226,1027.2
167,298,415.7
168,166,395.1
169,127,422.2
170,173,400.7
173,117,372.4
174,113,755.8
175,177,360.6
176,174,344.9
177,213,316.1
178,142,418.2
179,33,328.3
179,128,441.7
181,183,563.8
182,248,314.6
183,184,331.4
184,185,375.4
185,254,332.5
186,296,354.2
187,186,410.0
188,141,381.6
189,280,420.9
190,192,320.7
191,189,312.4
192,194,358.9
193,191,322.3
194,196,300.5
195,193,271.7
196,198,264.8
197,195,313.3
198,180,293.3
199,197,309.3
200,199,317.7
201,211,274.9
202,16,328.2
203,80,1071.1
205,244,386.4
206,144,356.9
207,169,459.6
207,251,129.0
208,297,426.0
208,104,393.0
209,146,519.6
209,104,393.1
210,262,373.4
211,210,356.1
212,270,328.7
213,179,310.7
214,27,471.1
215,111,2685.8
216,218,359.8
217,31,411.9
217,98,411.7
217,46,354.0
218,76,356.6
219,217,359.6
220,201,389.5
221,220,574.3
222,79,1270.1
223,143,309.5
224,229,520.6
227,167,1425.7
228,205,354.0
229,4,315.9
230,47,353.0
231,66,828.6
231,11,312.5
231,247,203.2
233,277,399.4
234,82,356.8
235,163,409.7
235,264,168.6
236,250,460.1
237,24,452.4
238,50,527.9
239,23,441.0
240,9,451.3
240,10,271.4
240,91,82.3
241,108,404.0
242,18,789.9
242,28,23.1
243,62,357.3
243,28,22.2
244,100,437.8
245,48,376.8
246,11,418.5
246,65,372.6
246,59,346.1
247,249,609.8
247,59,347.1
248,25,352.9
249,225,515.0
250,122,391.6
251,118,336.7
252,69,380.0
252,46,271.5
253,30,310.6
254,188,333.5
256,1,1149.5
257,275,363.3
259,103,360.7
260,259,340.6
261,260,294.1
262,306,345.1
263,56,440.8
264,163,293.4
265,264,334.1
265,115,77.0
266,135,325.4
266,162,327.4
267,288,369.7
268,240,420.3
269,290,362.0
270,32,352.3
271,68,251.1
272,106,366.7
273,138,326.7
274,175,357.0
276,258,427.0
276,292,109.6
278,289,393.7
279,140,323.4
280,279,384.8
281,282,360.2
282,156,384.4
283,281,392.2
284,114,464.9
285,15,348.8
286,102,330.1
287,267,375.5
288,283,376.8
289,190,329.5
290,110,425.6
291,294,341.2
292,147,371.0
293,148,534.9
294,77,362.2
295,291,334.3
296,126,367.6
297,168,430.0
298,209,425.5
299,293,326.1
300,34,394.2
301,20,446.0
302,104,1093.8
303,136,431.2
304,35,378.0
305,139,355.4
